Gene	Name	Type
GLYMA_01G034600	GLYMA_01G034600	protein_coding
GLYMA_01G034700	GLYMA_01G034700	protein_coding
GLYMA_01G034800	GLYMA_01G034800	protein_coding
GLYMA_01G034900	GLYMA_01G034900	protein_coding
GLYMA_01G035000	GLYMA_01G035000	protein_coding
GLYMA_01G035100	GLYMA_01G035100	protein_coding
GLYMA_01G035200	GLYMA_01G035200	protein_coding
GLYMA_01G035300	GLYMA_01G035300	protein_coding
GLYMA_01G035400	GLYMA_01G035400	protein_coding
GLYMA_01G035500	GLYMA_01G035500	protein_coding
GLYMA_01G035600	GLYMA_01G035600	protein_coding
GLYMA_01G035700	GLYMA_01G035700	protein_coding
GLYMA_01G035800	GLYMA_01G035800	protein_coding
GLYMA_01G035900	GLYMA_01G035900	protein_coding
GLYMA_01G036000	GLYMA_01G036000	protein_coding
GLYMA_01G036100	GLYMA_01G036100	protein_coding
GLYMA_01G036200	GLYMA_01G036200	protein_coding
GLYMA_01G036300	GLYMA_01G036300	protein_coding
GLYMA_01G036400	GLYMA_01G036400	protein_coding
GLYMA_01G036500	GLYMA_01G036500	protein_coding
GLYMA_01G036600	GLYMA_01G036600	protein_coding
GLYMA_01G036700	GLYMA_01G036700	protein_coding
GLYMA_01G036800	GLYMA_01G036800	protein_coding
GLYMA_01G036900	GLYMA_01G036900	protein_coding
GLYMA_01G037000	GLYMA_01G037000	protein_coding
GLYMA_01G037100	GLYMA_01G037100	protein_coding
GLYMA_01G037200	GLYMA_01G037200	protein_coding
GLYMA_01G037300	GLYMA_01G037300	protein_coding
GLYMA_01G037400	GLYMA_01G037400	protein_coding
GLYMA_01G037500	GLYMA_01G037500	protein_coding
GLYMA_01G037600	GLYMA_01G037600	protein_coding
GLYMA_01G037700	GLYMA_01G037700	protein_coding
GLYMA_01G037800	GLYMA_01G037800	protein_coding
GLYMA_01G037900	GLYMA_01G037900	protein_coding
GLYMA_01G038000	GLYMA_01G038000	protein_coding
GLYMA_01G038100	GLYMA_01G038100	protein_coding
GLYMA_01G038200	GLYMA_01G038200	protein_coding
GLYMA_01G038300	GLYMA_01G038300	protein_coding
GLYMA_01G038400	GLYMA_01G038400	protein_coding
GLYMA_01G038500	GLYMA_01G038500	protein_coding
GLYMA_01G038600	GLYMA_01G038600	protein_coding
GLYMA_01G038700	GLYMA_01G038700	protein_coding
GLYMA_01G038800	GLYMA_01G038800	protein_coding
GLYMA_01G038900	GLYMA_01G038900	protein_coding
GLYMA_01G039000	GLYMA_01G039000	protein_coding
GLYMA_01G039100	GLYMA_01G039100	protein_coding
GLYMA_01G039200	GLYMA_01G039200	protein_coding
GLYMA_01G039300	GLYMA_01G039300	protein_coding
GLYMA_01G039400	GLYMA_01G039400	protein_coding
GLYMA_01G039500	GLYMA_01G039500	protein_coding
GLYMA_01G039600	GLYMA_01G039600	protein_coding
GLYMA_01G039700	GLYMA_01G039700	protein_coding
GLYMA_01G039800	GLYMA_01G039800	protein_coding
GLYMA_01G039900	GLYMA_01G039900	protein_coding
GLYMA_01G040000	GLYMA_01G040000	protein_coding
GLYMA_01G040100	GLYMA_01G040100	protein_coding
GLYMA_01G040200	GLYMA_01G040200	protein_coding
GLYMA_01G040300	GLYMA_01G040300	protein_coding
GLYMA_01G040400	GLYMA_01G040400	protein_coding
GLYMA_01G040500	GLYMA_01G040500	protein_coding
GLYMA_01G040600	GLYMA_01G040600	protein_coding
GLYMA_01G040700	GLYMA_01G040700	protein_coding
GLYMA_01G040800	GLYMA_01G040800	protein_coding
GLYMA_01G040900	GLYMA_01G040900	protein_coding
GLYMA_01G041000	GLYMA_01G041000	protein_coding
GLYMA_01G041100	GLYMA_01G041100	protein_coding
GLYMA_01G041200	GLYMA_01G041200	protein_coding
GLYMA_01G041300	GLYMA_01G041300	protein_coding
GLYMA_01G041400	GLYMA_01G041400	protein_coding
GLYMA_01G041500	GLYMA_01G041500	protein_coding
GLYMA_01G041600	GLYMA_01G041600	protein_coding
GLYMA_01G041700	GLYMA_01G041700	protein_coding
GLYMA_01G041800	GLYMA_01G041800	protein_coding
GLYMA_01G041900	GLYMA_01G041900	protein_coding
GLYMA_01G042000	GLYMA_01G042000	protein_coding
GLYMA_01G042100	GLYMA_01G042100	protein_coding
GLYMA_01G042200	GLYMA_01G042200	protein_coding
GLYMA_01G042300	GLYMA_01G042300	protein_coding
GLYMA_01G042400	GLYMA_01G042400	protein_coding
GLYMA_01G042500	GLYMA_01G042500	protein_coding
GLYMA_01G042600	GLYMA_01G042600	protein_coding
GLYMA_01G042700	GLYMA_01G042700	protein_coding
GLYMA_01G042800	GLYMA_01G042800	protein_coding
GLYMA_01G042900	GLYMA_01G042900	protein_coding
GLYMA_01G043000	GLYMA_01G043000	protein_coding
GLYMA_01G043100	GLYMA_01G043100	protein_coding
GLYMA_01G043200	GLYMA_01G043200	protein_coding
GLYMA_01G043300	GLYMA_01G043300	protein_coding
GLYMA_01G043400	GLYMA_01G043400	protein_coding
GLYMA_01G043500	GLYMA_01G043500	protein_coding
GLYMA_01G043600	GLYMA_01G043600	protein_coding
GLYMA_01G043700	GLYMA_01G043700	protein_coding
GLYMA_01G043800	GLYMA_01G043800	protein_coding
GLYMA_01G043900	GLYMA_01G043900	protein_coding
GLYMA_01G044000	GLYMA_01G044000	protein_coding
GLYMA_01G044100	GLYMA_01G044100	protein_coding
GLYMA_01G044200	GLYMA_01G044200	protein_coding
GLYMA_01G044300	GLYMA_01G044300	protein_coding
GLYMA_01G044400	GLYMA_01G044400	protein_coding
GLYMA_01G044500	GLYMA_01G044500	protein_coding
GLYMA_01G044600	GLYMA_01G044600	protein_coding
GLYMA_01G044700	GLYMA_01G044700	protein_coding
GLYMA_01G044800	GLYMA_01G044800	protein_coding
GLYMA_01G044900	GLYMA_01G044900	protein_coding
GLYMA_01G045000	GLYMA_01G045000	protein_coding
GLYMA_01G045100	GLYMA_01G045100	protein_coding
GLYMA_01G045200	GLYMA_01G045200	protein_coding
GLYMA_01G045300	GLYMA_01G045300	protein_coding
GLYMA_01G045400	GLYMA_01G045400	protein_coding
GLYMA_01G045500	GLYMA_01G045500	protein_coding
GLYMA_01G045600	GLYMA_01G045600	protein_coding
GLYMA_01G045700	GLYMA_01G045700	protein_coding
GLYMA_01G045800	GLYMA_01G045800	protein_coding
GLYMA_01G045900	GLYMA_01G045900	protein_coding
GLYMA_01G046000	GLYMA_01G046000	protein_coding
GLYMA_01G046100	GLYMA_01G046100	protein_coding
GLYMA_01G046200	GLYMA_01G046200	protein_coding
GLYMA_01G046300	GLYMA_01G046300	protein_coding
GLYMA_01G046400	GLYMA_01G046400	protein_coding
GLYMA_01G046500	GLYMA_01G046500	protein_coding
GLYMA_01G046600	GLYMA_01G046600	protein_coding
GLYMA_01G046700	GLYMA_01G046700	protein_coding
GLYMA_01G046800	GLYMA_01G046800	protein_coding
GLYMA_01G046900	GLYMA_01G046900	protein_coding
GLYMA_01G047000	GLYMA_01G047000	protein_coding
GLYMA_01G047100	GLYMA_01G047100	protein_coding
GLYMA_01G047200	GLYMA_01G047200	protein_coding
GLYMA_01G047300	GLYMA_01G047300	protein_coding
GLYMA_01G047400	GLYMA_01G047400	protein_coding
GLYMA_01G047500	GLYMA_01G047500	protein_coding
GLYMA_01G047600	GLYMA_01G047600	protein_coding
GLYMA_01G047700	GLYMA_01G047700	protein_coding
GLYMA_01G047800	GLYMA_01G047800	protein_coding
GLYMA_01G047900	GLYMA_01G047900	protein_coding
GLYMA_01G048000	GLYMA_01G048000	protein_coding
GLYMA_01G048100	GLYMA_01G048100	protein_coding
GLYMA_01G048200	GLYMA_01G048200	protein_coding
GLYMA_01G048300	GLYMA_01G048300	protein_coding
GLYMA_01G048400	GLYMA_01G048400	protein_coding
GLYMA_01G048500	GLYMA_01G048500	protein_coding
GLYMA_01G048600	GLYMA_01G048600	protein_coding
GLYMA_01G048700	GLYMA_01G048700	protein_coding
GLYMA_01G048800	GLYMA_01G048800	protein_coding
GLYMA_01G048900	GLYMA_01G048900	protein_coding
GLYMA_01G049000	GLYMA_01G049000	protein_coding
GLYMA_01G049100	GLYMA_01G049100	protein_coding
GLYMA_01G049200	GLYMA_01G049200	protein_coding
GLYMA_01G049300	GLYMA_01G049300	protein_coding
GLYMA_01G049400	GLYMA_01G049400	protein_coding
GLYMA_01G049500	GLYMA_01G049500	protein_coding
GLYMA_01G049600	GLYMA_01G049600	protein_coding
GLYMA_01G049700	GLYMA_01G049700	protein_coding
GLYMA_01G049800	GLYMA_01G049800	protein_coding
