Gene	Name	Type
"YCR086W"	 "CSM1"	"protein_coding"
"YCR088W"	 "ABP1"	"protein_coding"
"YCR089W"	 "FIG2"	"protein_coding"
"YCR091W"	 "KIN82"	"protein_coding"
"YCR092C"	 "MSH3"	"protein_coding"
"YCR093W"	 "CDC39"	"protein_coding"
"YCR094W"	 "CDC50"	"protein_coding"
"YCR095C"	 "OCA4"	"protein_coding"
"YCR096C"	 "HMRA2"	"protein_coding"
"YCR097W"	 "HMRA1"	"protein_coding"
"YCR098C"	 "GIT1"	"protein_coding"
"YCR104W"	 "PAU3"	"protein_coding"
"YCR105W"	 "ADH7"	"protein_coding"
"YCR106W"	 "RDS1"	"protein_coding"
"YCR107W"	 "AAD3"	"protein_coding"
"YDL001W"	 "RMD1"	"protein_coding"
"YDL002C"	 "NHP10"	"protein_coding"
"YDL003W"	 "MCD1"	"protein_coding"
"YDL004W"	 "ATP16"	"protein_coding"
"YDL005C"	 "MED2"	"protein_coding"
